strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
BTCResidualMR,NEARUSDC,2,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.7}",7333.22,-26.6678,-0.2278,58,46.55,0.794,31.8,-0.4825,117.1
MeanRevLowVol,NEARUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",7258.3,-27.417,-0.2342,31,45.16,0.6242,36.72,-0.7042,117.1
MeanRevLowVol,XRPUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",7256.85,-27.4315,-0.2343,35,48.57,0.6121,35.92,-0.8038,117.1
MeanRevLowVol,DOGEUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",7239.1,-27.609,-0.2358,31,45.16,0.6067,36.68,-0.8266,117.1
MeanRevLowVol,ETHUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",7234.95,-27.6505,-0.2362,20,30.0,0.3807,29.22,-1.223,117.1
VolBreakoutMom,SOLUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",7198.37,-28.0163,-0.2393,127,37.01,0.892,36.56,-0.3328,117.1
MeanRevLowVol,ETHUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",7198.21,-28.0179,-0.2393,38,42.11,0.5805,31.48,-0.9272,117.1
TSMOM,AVAXUSDC,2,"{'lookback': 12, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",7178.37,-28.2163,-0.241,53,32.08,0.7537,35.25,-0.7115,117.1
TSMOM,ETHUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",7168.25,-28.3175,-0.2419,74,31.08,0.7085,36.63,-1.0391,117.1
BTCResidualMR,SOLUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",7128.74,-28.7126,-0.2453,51,47.06,0.7569,38.24,-0.5601,117.1
VolBreakoutMom,AVAXUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",7097.29,-29.0271,-0.2479,111,37.84,0.8855,35.09,-0.3161,117.1
