strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",19592.04,95.9204,0.8193,183,31.69,1.164,36.88,0.8927,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",19589.06,95.8906,0.8191,122,34.43,1.2405,36.84,0.8363,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",19556.86,95.5686,0.8163,159,39.62,1.1434,37.12,0.8609,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 15, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",19533.99,95.3399,0.8144,77,32.47,1.583,16.69,1.1211,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",19505.24,95.0524,0.8119,147,38.1,1.2193,28.74,0.8832,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 8, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",19471.7,94.717,0.8091,92,35.87,1.4339,27.42,1.0519,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",19351.21,93.5121,0.7988,125,27.2,1.2638,28.12,0.912,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",19243.07,92.4307,0.7895,178,28.65,1.1647,33.81,0.8483,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",19208.21,92.0821,0.7865,129,29.46,1.2615,36.33,0.7586,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 12, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",19205.26,92.0526,0.7863,77,32.47,1.4457,22.56,1.0904,117.1
